2023 Mar 4  16:02:00.00 | user.py took 0:00:02.596635 to execute | INFO |  patientHamza logged in !!
2023 Mar 5  22:04:37.71 | user.py took 0:00:01.071577 to execute | INFO |  nator logged in !!
2023 Mar 5  22:09:22.17 | user.py took 0:00:00.442454 to execute | INFO | user with the email nator@example.com  queried all users
2023 Mar 6  11:10:13.81 | user.py took 13:00:52.078752 to execute | INFO | user with the name stanley has been created
2023 Mar 6  11:12:22.83 | user.py took 13:03:01.098613 to execute | INFO |  doctor logged in !!
2023 Mar 6  11:14:42.59 | user.py took 13:05:20.864220 to execute | INFO |  nator logged in !!
2023 Mar 6  12:31:56.51 | user.py took 0:05:27.814777 to execute | INFO |  nhisadmin logged in !!
2023 Mar 6  14:49:43.11 | patient.py took 0:00:09.131942 to execute | INFO | [Record] (b32149aa-eec4-442c-a89e-c14d64e5de4a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A8AA525160>, 'created_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'updated_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'type': 'hellooooo', 'BloodType': 'strin', 'weight': 0.0, 'id': 'b32149aa-eec4-442c-a89e-c14d64e5de4a', 'patient': '26b426cc-689d-4e95-8a2a-556b2e0ccd91', 'DOB': datetime.datetime(2023, 3, 6, 0, 0), 'Height': 0.0, 'BMI': 0.0}
2023 Mar 6  14:49:43.11 | patient.py took 0:00:09.131942 to execute | INFO | [Record] (b32149aa-eec4-442c-a89e-c14d64e5de4a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A8AA525160>, 'created_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'updated_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'type': ('hellooooo',), 'BloodType': ('strin',), 'weight': (0.0,), 'id': 'b32149aa-eec4-442c-a89e-c14d64e5de4a', 'patient': ('26b426cc-689d-4e95-8a2a-556b2e0ccd91',), 'DOB': (datetime.date(2023, 3, 6),), 'Height': (0.0,), 'BMI': 0.0}
2023 Mar 6  14:49:43.11 | patient.py took 0:00:09.131942 to execute | INFO | [Record] (b32149aa-eec4-442c-a89e-c14d64e5de4a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A8AA525160>, 'created_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'updated_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'type': ('hellooooo',), 'BloodType': ('strin',), 'weight': (0.0,), 'id': 'b32149aa-eec4-442c-a89e-c14d64e5de4a', 'patient': ('26b426cc-689d-4e95-8a2a-556b2e0ccd91',), 'DOB': (datetime.date(2023, 3, 6),), 'Height': (0.0,), 'BMI': 0.0}
2023 Mar 6  14:50:49.04 | patient.py took 0:01:15.062371 to execute | INFO | [Record] (b32149aa-eec4-442c-a89e-c14d64e5de4a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A8AA5C51C0>, 'created_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'updated_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'type': 'hellooooo', 'BloodType': 'strin', 'weight': 0.0, 'id': 'b32149aa-eec4-442c-a89e-c14d64e5de4a', 'patient': '26b426cc-689d-4e95-8a2a-556b2e0ccd91', 'DOB': datetime.datetime(2023, 3, 6, 0, 0), 'Height': 0.0, 'BMI': 0.0}
2023 Mar 6  14:50:49.04 | patient.py took 0:01:15.062371 to execute | INFO | [Record] (b32149aa-eec4-442c-a89e-c14d64e5de4a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A8AA5C51C0>, 'created_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'updated_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'type': ('lloooll',), 'BloodType': ('strin',), 'weight': (0.0,), 'id': 'b32149aa-eec4-442c-a89e-c14d64e5de4a', 'patient': ('26b426cc-689d-4e95-8a2a-556b2e0ccd91',), 'DOB': (datetime.date(2023, 3, 6),), 'Height': (0.0,), 'BMI': 0.0}
2023 Mar 6  14:50:49.07 | patient.py took 0:01:15.090859 to execute | INFO | [Record] (b32149aa-eec4-442c-a89e-c14d64e5de4a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002A8AA5C51C0>, 'created_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'updated_at': datetime.datetime(2023, 3, 3, 20, 7, 17, 990928), 'type': ('lloooll',), 'BloodType': ('strin',), 'weight': (0.0,), 'id': 'b32149aa-eec4-442c-a89e-c14d64e5de4a', 'patient': ('26b426cc-689d-4e95-8a2a-556b2e0ccd91',), 'DOB': (datetime.date(2023, 3, 6),), 'Height': (0.0,), 'BMI': 0.0}
2023 Mar 6  14:53:05.63 | patient.py took 0:00:02.819398 to execute | INFO | lloooll
2023 Mar 7  00:05:22.17 | user.py took 0:02:16.430080 to execute | INFO |  dotorrS logged in !!
2023 Mar 7  00:16:19.20 | patient.py took 0:00:01.912556 to execute | INFO | {'sub': 'doctorSr@example.com', 'iat': 1678143922, 'nbf': 1678143922, 'jti': '29ac1b08-f23c-480b-bc8c-2571fbc147ff', 'exp': 1678161922, 'type': 'access', 'fresh': False, 'username': 'dotorrS', 'email': 'doctorSr@example.com', 'user_id': '1214db2e-e251-4e3b-972d-5fb2dac3c819'}
2023 Mar 7  00:39:43.94 | patient.py took 0:00:01.371271 to execute | INFO | [Medication] (f15361f2-3754-40f5-bef8-d20fe9f3bb7a) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x00000268254F45E0>, 'medication_name': 'string', 'id': 'f15361f2-3754-40f5-bef8-d20fe9f3bb7a', 'created_at': datetime.datetime(2023, 3, 7, 0, 39, 43, 941916), 'updated_at': datetime.datetime(2023, 3, 7, 0, 39, 43, 941916), 'patient': '26b426cc-689d-4e95-8a2a-556b2e0ccd91', 'hospitalID': 'string', 'dosage': 'string', 'doctor_id': '1214db2e-e251-4e3b-972d-5fb2dac3c819', 'start_date': datetime.date(2023, 3, 6), 'due_date': datetime.date(2023, 3, 6), 'reason': 'string'}
2023 Mar 7  00:42:29.74 | hospital.py took 0:01:03.753858 to execute | INFO | [Admin] (a4edd74c-8dea-417a-bd67-3b0f200f19a1) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000002448B864310>, 'name': 'daraa', 'id': 'a4edd74c-8dea-417a-bd67-3b0f200f19a1', 'created_at': datetime.datetime(2023, 3, 7, 0, 42, 29, 740627), 'updated_at': datetime.datetime(2023, 3, 7, 0, 42, 29, 740627), 'phone': 'str32egstrin', 'email': 'dara@example.com', 'password_hash': '$2b$12$emlec.nCmrsorw.groO3bejrKyHI2rbvTXJA0OhozExv.VsOmjrW.', 'hospitalID': 'DaraID'}
2023 Mar 7  01:51:17.27 | user.py took 0:00:06.741733 to execute | INFO |  dotorrS logged in !!
2023 Mar 10  08:00:47.61 | user.py took 0:00:34.077363 to execute | INFO |  dotorrS logged in !!
2023 Mar 10  08:29:49.66 | patient.py took 0:00:00.759985 to execute | INFO | 1214db2e-e251-4e3b-972d-5fb2dac3c819
2023 Mar 10  08:36:28.94 | patient.py took 0:00:01.646201 to execute | INFO | {'sub': 'doctorSr@example.com', 'iat': 1678431647, 'nbf': 1678431647, 'jti': 'fa708d0a-b2c6-445a-a208-5a26732c397e', 'exp': 1678449647, 'type': 'access', 'fresh': False, 'username': 'dotorrS', 'email': 'doctorSr@example.com', 'user_id': '1214db2e-e251-4e3b-972d-5fb2dac3c819'}
2023 Mar 10  08:37:43.09 | patient.py took 0:00:00.612009 to execute | INFO | dotorrS
2023 Mar 11  15:53:47.28 | user.py took 0:00:01.000553 to execute | INFO |  NHISadmin logged in !!
2023 Mar 11  15:58:58.49 | user.py took 0:05:12.204281 to execute | INFO |  sabioo logged in !!
2023 Mar 11  23:02:07.33 | user.py took 0:01:38.993945 to execute | INFO |  sabioo logged in !!
2023 Mar 11  23:08:48.13 | hospital.py took 0:02:01.706017 to execute | INFO | [Patient] (25acad2f-ba9e-4f8d-a125-069da5d1663f) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x0000027546D62B80>, 'name': 'patient', 'email': 'patints@example.com', 'password_hash': '$2b$12$XLgMoNXRyLkYQ25ZCwgQzu15pLgRKH8Xz13zmGs2yzBU6cDg68OI.', 'insuranceID': 'NHISid', 'address': 'stringstri', 'gender': <genderEnum.M: 'M'>, 'id': '25acad2f-ba9e-4f8d-a125-069da5d1663f', 'created_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'updated_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'phone': '090909ss090', 'nin': '11111111112', 'role': 'patient'} checked-out
2023 Mar 11  23:08:50.79 | hospital.py took 0:02:04.364484 to execute | INFO | [Patient] (25acad2f-ba9e-4f8d-a125-069da5d1663f) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x0000027546D49250>, 'name': 'patient', 'email': 'patints@example.com', 'password_hash': '$2b$12$XLgMoNXRyLkYQ25ZCwgQzu15pLgRKH8Xz13zmGs2yzBU6cDg68OI.', 'insuranceID': 'NHISid', 'address': 'stringstri', 'gender': <genderEnum.M: 'M'>, 'id': '25acad2f-ba9e-4f8d-a125-069da5d1663f', 'created_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'updated_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'phone': '090909ss090', 'nin': '11111111112', 'role': 'patient'} checked-out
2023 Mar 11  23:08:52.40 | hospital.py took 0:02:05.973248 to execute | INFO | [Patient] (25acad2f-ba9e-4f8d-a125-069da5d1663f) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x0000027546DD85E0>, 'name': 'patient', 'email': 'patints@example.com', 'password_hash': '$2b$12$XLgMoNXRyLkYQ25ZCwgQzu15pLgRKH8Xz13zmGs2yzBU6cDg68OI.', 'insuranceID': 'NHISid', 'address': 'stringstri', 'gender': <genderEnum.M: 'M'>, 'id': '25acad2f-ba9e-4f8d-a125-069da5d1663f', 'created_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'updated_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'phone': '090909ss090', 'nin': '11111111112', 'role': 'patient'} checked-out
2023 Mar 11  23:08:59.09 | hospital.py took 0:02:12.666318 to execute | INFO | [Patient] (25acad2f-ba9e-4f8d-a125-069da5d1663f) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x00000275470042E0>, 'name': 'patient', 'email': 'patints@example.com', 'password_hash': '$2b$12$XLgMoNXRyLkYQ25ZCwgQzu15pLgRKH8Xz13zmGs2yzBU6cDg68OI.', 'insuranceID': 'NHISid', 'address': 'stringstri', 'gender': <genderEnum.M: 'M'>, 'id': '25acad2f-ba9e-4f8d-a125-069da5d1663f', 'created_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'updated_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'phone': '090909ss090', 'nin': '11111111112', 'role': 'patient'} checked-out
2023 Mar 11  23:10:09.17 | hospital.py took 0:00:06.167334 to execute | INFO | patient checked-out [Patient] (25acad2f-ba9e-4f8d-a125-069da5d1663f) {'_sa_instance_state': <sqlalchemy.orm.state.InstanceState object at 0x000001B004AFCE50>, 'name': 'patient', 'email': 'patints@example.com', 'password_hash': '$2b$12$XLgMoNXRyLkYQ25ZCwgQzu15pLgRKH8Xz13zmGs2yzBU6cDg68OI.', 'insuranceID': 'NHISid', 'address': 'stringstri', 'gender': <genderEnum.M: 'M'>, 'id': '25acad2f-ba9e-4f8d-a125-069da5d1663f', 'created_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'updated_at': datetime.datetime(2023, 3, 7, 2, 1, 32, 339823), 'phone': '090909ss090', 'nin': '11111111112', 'role': 'patient'}
